Address:;USB0::0x2A8D::0x0396::CN61217226::0::INSTR;;Function Channels;;
Model:;DSOX1204G;;Time (s);M1;
;;;2107,62023836;-1,78813934326172E-07;
;;;2117,15698152;-1,78813934326172E-07;
;;;2126,69372468;-1,78813934326172E-07;
;;;2136,23046784;-1,78813934326172E-07;
;;;2145,767211;-1,78813934326172E-07;
;;;2155,30395416;-1,78813934326172E-07;
;;;2164,84069732;-1,78813934326172E-07;
;;;2174,37744048;-1,78813934326172E-07;
;;;2183,91418364;-1,78813934326172E-07;
;;;2193,4509268;-1,78813934326172E-07;
;;;2202,98766996;-1,78813934326172E-07;
;;;2212,52441312;-1,78813934326172E-07;
;;;2222,06115628;-1,78813934326172E-07;
;;;2231,59789944;-1,78813934326172E-07;
;;;2241,1346426;-1,78813934326172E-07;
;;;2250,67138576;-1,78813934326172E-07;
;;;2260,20812892;-1,78813934326172E-07;
;;;2269,74487208;-1,78813934326172E-07;
;;;2279,28161524;-1,78813934326172E-07;
;;;2288,8183584;-1,78813934326172E-07;
;;;2298,35510156;-1,78813934326172E-07;
;;;2307,89184472;-1,78813934326172E-07;
;;;2317,42858788;-1,78813934326172E-07;
;;;2326,96533104;-1,78813934326172E-07;
;;;2336,5020742;-1,78813934326172E-07;
;;;2346,03881736;-1,78813934326172E-07;
;;;2355,57556052;-1,78813934326172E-07;
;;;2365,11230368;-1,78813934326172E-07;
;;;2374,64904684;-1,78813934326172E-07;
;;;2384,18579;-1,78813934326172E-07;
;;;2393,72253316;-1,78813934326172E-07;
;;;2403,25927632;-1,78813934326172E-07;
;;;2412,79601948;-1,78813934326172E-07;
;;;2422,33276264;-1,78813934326172E-07;
;;;2431,8695058;-1,78813934326172E-07;
;;;2441,40624896;-1,78813934326172E-07;
;;;2450,94299212;-1,78813934326172E-07;
;;;2460,47973528;-1,78813934326172E-07;
;;;2470,01647844;-1,78813934326172E-07;
;;;2479,5532216;-1,78813934326172E-07;
;;;2489,08996476;-1,78813934326172E-07;
;;;2498,62670792;-1,78813934326172E-07;
;;;2508,16345108;-1,78813934326172E-07;
;;;2517,70019424;-1,78813934326172E-07;
;;;2527,2369374;-1,78813934326172E-07;
;;;2536,77368056;-1,78813934326172E-07;
;;;2546,31042372;-1,78813934326172E-07;
;;;2555,84716688;-1,78813934326172E-07;
;;;2565,38391004;-1,78813934326172E-07;
;;;2574,9206532;-1,78813934326172E-07;
;;;2584,45739636;-1,78813934326172E-07;
;;;2593,99413952;-1,78813934326172E-07;
;;;2603,53088268;-1,78813934326172E-07;
;;;2613,06762584;-1,78813934326172E-07;
;;;2622,604369;-1,78813934326172E-07;
;;;2632,14111216;-1,78813934326172E-07;
;;;2641,67785532;-1,78813934326172E-07;
;;;2651,21459848;-1,78813934326172E-07;
